CATÁLOGO DE SERVICIOS TIC DE CRUE V3.0;;
Cód. CRUE;Nombre del Servicio;Descripción del Servicio
CRUE_05_01;Web institucional;Hospedaje de información académica, de investigación y gestión en el sitio web institucional de la Universidad
CRUE_05_011;Web. Espacio personal;Hospedaje de información académica, de investigación y gestión en espacios personales de los miembros de la comunidad
CRUE_05_012;Web. Alojamiento;Servidores web alojados fuera del servidor Web institucional
CRUE_05_02;Sede electrónica;Publicación de información en la Sede electrónica según lo establecido en la Legislación vigente
CRUE_05_021;Carpeta ciudadana;Según lo establecido en la Legislación vigente
CRUE_05_022;Tablón de anuncios;Según lo establecido en la Legislación vigente
CRUE_05_023;Portal de transparencia;Según lo establecido en la Legislación vigente
CRUE_05_03;Intranet;Publicación de información académica, de investigación y servicios universitarios en un sitio web de acceso restringido a la comunidad universitaria.
CRUE_05_04;Intranet. Portal del investigador.;Publicación de recursos y servicios dirigidos a los investigadores sobre un sitio web de acceso restringido a este colectivo.
CRUE_05_05;Intranet. Portal del empleado;Publicación de recursos y servicios dirigidos a los empleados de la universidad sobre un sitio web de acceso restringido a este colectivo.
CRUE_05_06;Intranet. Portal del estudiante o Secretaría Virtual.;Publicación de recursos y servicios dirigidos a los estudiantes de la universidad sobre un sitio web de acceso restringido a este colectivo.
CRUE_05_07;Contenidos Digitales. Material audiovisual.;Soporte al almacenamiento y difusión de material audiovisual
CRUE_05_08;Contenidos Digitales. Material fotográfico.;Soporte al almacenamiento y difusión de material fotográfico
CRUE_05_09;Contenidos Digitales. Contenidos Docentes.;Soporte al almacenamiento y difusión de contenidos docentes en formato digital
CRUE_05_10;Contenidos Digitales. Contenidos Docentes de acceso abierto.;Soporte al almacenamiento y difusión de contenidos docentes de acceso abierto
CRUE_05_11;Grabación y Difusión de eventos.;Grabación audiovisual de eventos, incluyendo la posibilidad de difusión a través de internet. Sistemas de grabación y difusión en streaming,  usando hardware específico.  El servicio de alojamiento de estos contenidos está recogido en los servicios de Contenidos Digitales (CRUE_05_07, 09 y 10)
